Name,Typ Einträge,AI assist
WOGENO - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Die Mitgliedschaft und das Mietverhältnis bestehen, solange die statutarischen und mietvertraglichen Verpflichtungen eingehalten werden. Bei Unterbelegung einer Wohnung kann nach schriftlicher Aufforderung und einer Frist von 2 Jahren die Kündigung ausgesprochen werden (Art. 1.5).

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird von ""Anspruch auf angemessenen Wohn- oder Gewerberaum"" gesprochen (Art. 1.5). Ein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" wird nicht verwendet.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn es trotz schriftlicher Mahnung seine statutarischen oder mietvertraglichen Verpflichtungen grob verletzt oder in schwerwiegender Weise die Genossenschaft schädigt oder gefährdet (Art. 2.9).

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Das Mietverhältnis kann gekündigt werden, wenn die Hausgemeinschaft oder das Mitglied trotz schriftlicher Mahnung statutarische, mietrechtliche oder vertragliche Verpflichtungen nicht einhält (Art. 5.6). Bei Unterbelegung einer Wohnung und Nichtbefolgung der Aufforderung zum Umzug oder zur Aufnahme neuer Mitglieder innerhalb von 2 Jahren kann ebenfalls gekündigt werden (Art. 1.5).

- Wird ein Ersatz angeboten?
Es gibt keinen Anspruch auf Ersatzwohnung. Bei Kündigung wegen Nichtbeitritt zur Genossenschaft wird eine Erstreckung des Mietverhältnisses gewährt, mindestens im Umfang, wie sie durch das Mietgericht mit guten Chancen erhalten werden könnte (Erläuterungen zu 5.10)."
Sunnige Hof - Vermietungsbestimmungen,Vermietungsbestimmungen,"In den Vermietungsbestimmungen der Genossenschaft Sunnige Hof ist keine maximale Aufenthaltsdauer in der Genossenschaft oder in einer Wohnung genannt. Es wird keine spezifische Bezeichnung wie Bleiberecht oder Wohnrecht verwendet. Die Voraussetzungen für die Vermietung sind: Belegungsvorschriften, Solvenz, Integration in die Strukturen und Engagement für den Sunnigen Hof, Integration in die Nachbarschaft und nachbarschaftliche Verträglichkeit sowie Referenzen. Zu den Bedingungen für einen Ausschluss aus der Genossenschaft oder einen Wohnungsverlust sowie zu einem möglichen Ersatzangebot finden sich in diesem Dokument keine Angaben."
Sunnige Hof - Vermietungsbestimmungen,Vermietungsbestimmungen,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Dauer des Wohnens in der Genossenschaft oder in einer Wohnung. Allerdings muss bei Unterbelegung (zwei oder mehr überzählige Zimmer) die Wohnung spätestens innert zwei Jahren freigegeben werden. Die Genossenschaft unterbreitet dann ein Wohnungsangebot zur Umsiedlung. Wird dieses abgelehnt oder die Frist nicht eingehalten, erfolgt in der Regel der Ausschluss aus der Genossenschaft und die Kündigung.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Regelungen beziehen sich auf die Mitgliedschaft und das Mietverhältnis.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ausschlussgründe sind u.a.:
  - Missachtung der Belegungsrichtlinien (z.B. nicht gemeldete Änderungen der Personenbelegung)
  - Unerlaubte Untervermietung
  - Ablehnung eines zumutbaren Umsiedlungsangebots bei Unterbelegung
  - Weitere Verstösse gegen das Reglement.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Eine Kündigung des Mietverhältnisses erfolgt in der Regel nur in Verbindung mit dem Ausschluss aus der Genossenschaft. Gründe sind wie oben genannt (z.B. Unterbelegung, unerlaubte Untervermietung, Verstoss gegen Belegungsregeln).

- Wird ein Ersatz angeboten?
Bei Unterbelegung wird ein mögliches Wohnungsangebot zur Umsiedlung unterbreitet. Wird dieses abgelehnt, kann es zum Ausschluss und zur Kündigung kommen."
Sunnige Hof - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Die Genossenschaft ist auf unbeschränkte Dauer gegründet. Die Mitgliedschaft und das Mietverhältnis enden durch Austritt, Ausschluss oder Tod. Mitglieder sind verpflichtet, selbst in der gemieteten Wohnung zu wohnen und dort zivilrechtlichen Wohnsitz zu haben.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird von ""Mitgliedschaft"", ""Mietvertrag"", ""Wohnrecht"" und ""Residenzpflicht"" gesprochen. Die Pflicht, selbst in der Wohnung zu wohnen, wird als ""Residenzpflicht"" bezeichnet.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, z.B.:
  - Verletzung der Mitgliedschaftspflichten oder der genossenschaftlichen Treuepflicht
  - Missachtung von Beschlüssen der Organe
  - Schädigung des Ansehens oder der wirtschaftlichen Belange der Genossenschaft
  - Missachtung der Residenzpflicht
  - Zweckentfremdung der Wohnung (z.B. gewerbliche Nutzung)
  - Ablehnung eines zumutbaren Umsiedlungsangebotes bei Unterbelegung oder Umbau/Abbruch
  - Missachtung der Untermietbestimmungen
  - Vorliegen eines ausserordentlichen mietrechtlichen Kündigungsgrundes (z.B. gemäss Art. 257d, 257f, 266g, 266h OR)
  - Verletzung von Bestimmungen der Wohnbauförderung, sofern kein zumutbares Umsiedlungsangebot gemacht oder angenommen wurde

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags erfolgt in Verbindung mit dem Ausschluss aus der Genossenschaft oder bei Vorliegen ausserordentlicher mietrechtlicher Kündigungsgründe (z.B. schwere Vertragsverletzungen, Zahlungsverzug, etc.). Die Kündigung richtet sich nach den mietrechtlichen Bestimmungen.

- Wird ein Ersatz angeboten?
Bei Umbauten, Ersatzneubauten oder Unterbelegung wird nach Möglichkeit ein Umsiedlungsobjekt angeboten. Bei der Vermietung der umgebauten Gebäude und Ersatzneubauten werden bisherige Mieter*innen bevorzugt, sofern sie das Vermietungsreglement erfüllen."
Eigengrund | sge - Vermietungsbestimmungen,Vermietungsbestimmungen,Ich kann das PDF unter dem angegebenen Link nicht öffnen und daher keine Informationen aus den Vermietungsbestimmungen der Genossenschaft Eigengrund entnehmen.
MBGZ - Vermietungsbestimmungen,Vermietungsbestimmungen,"Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
- Es gibt keine explizite zeitliche Begrenzung für die Dauer des Wohnens in der Genossenschaft oder in einer Wohnung. Die Mitgliedschaft und das Mietverhältnis bestehen grundsätzlich unbefristet, solange die Belegungs- und Genossenschaftsregeln eingehalten werden.

Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
- Es wird keine spezielle Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Regelungen sprechen allgemein von Mitgliedschaft, Mietverhältnis und Belegungsvorschriften.

Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
- Ausschlussgründe sind u.a.:
  - Unbewilligte Untervermietung trotz Fristsetzung und Ablehnung eines Gesuchs.
  - Ablehnung von zwei zumutbaren Wohnungsangeboten bei Unterbelegung.
  - Nichtzahlung des Genossenschaftsanteilkapitals trotz zweimaliger Mahnung und Fristsetzung.
  - Verstösse gegen die Belegungs- und Vermietungsregeln.

Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
- Der Ausschluss aus der Genossenschaft führt zur Kündigung des Mietvertrags unter Einhaltung der ordentlichen Kündigungsfristen und -termine. Gründe sind z.B. unbewilligte Untervermietung, Unterbelegung mit Ablehnung von Ersatzangeboten oder Nichtzahlung des Anteilkapitals.

Wird ein Ersatz angeboten?
- Bei Unterbelegung ist der Vorstand verpflichtet, eine kleinere Wohnung in der Siedlung anzubieten. Lehnt das Mitglied zwei Angebote ab, erfolgt der Ausschluss und die Kündigung. Ein Ersatz wird also im Fall der Unterbelegung angeboten."
MBGZ - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Die Statuten nennen keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Die Mitgliedschaft und das Mietverhältnis bestehen grundsätzlich unbefristet, solange die Voraussetzungen erfüllt sind und kein Ausschluss- oder Kündigungsgrund vorliegt.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Statuten sprechen von ""Mitgliedschaft"" und ""Mietvertrag"". Die Pflicht, selbst in der gemieteten Wohnung zu wohnen, wird als ""Residenzpflicht"" bezeichnet (Art. 4 Abs. 4).

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann durch den Vorstand ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, z.B.:
  - Verletzung der Mitgliedschaftspflichten oder der genossenschaftlichen Treuepflicht
  - Missachtung von Beschlüssen der Organe
  - Schädigung der Genossenschaft
  - Nicht-Einhalten der Residenzpflicht
  - Zweckentfremdung der Wohnung
  - Ablehnung zumutbarer Umsiedlungsangebote bei Unterbelegung
  - Missachtung der Untermiet-Bestimmungen
  - Ablehnung eines Umsiedlungsangebots bei Umbau/Abbruch
  - Mietrechtliche Kündigungsgründe (z.B. nach Art. 257d, 257f, 266g, 266h OR)
  - Verletzung von Wohnbauförderungsbestimmungen, sofern kein zumutbares Umsiedlungsangebot gemacht oder angenommen wurde
Vor dem Ausschluss ist in der Regel eine Mahnung erforderlich, außer sie wäre nutzlos oder es liegt ein schwerwiegender mietrechtlicher Grund vor (Art. 11).

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags richtet sich nach den mietrechtlichen Bestimmungen. Ein Ausschluss aus der Genossenschaft ist in der Regel mit der Kündigung des Mietvertrags verbunden (Art. 4 Abs. 2, Art. 11 Abs. 5). Gründe können z.B. schwere Vertragsverletzungen, Unterbelegung, Ablehnung von Umsiedlungsangeboten oder Verstöße gegen die Statuten sein.

- Wird ein Ersatz angeboten?
Bei Umbauten oder Ersatzneubauten kündigt die Genossenschaft solche Vorhaben mindestens zwei Jahre im Voraus an und bietet den Betroffenen nach Möglichkeit ein Umsiedlungsobjekt an. Bei Unterbelegung oder bei Umbau/Abbruch muss ein zumutbares Umsiedlungsangebot gemacht werden. Wird dieses abgelehnt, kann ein Ausschluss erfolgen (Art. 5 Abs. 3, Art. 11 d/f/j).

Quelle: https://www.mbgz.ch/wp-content/uploads/2025/03/Statuten_MBGZ.pdf"
GEWOBAG - Statuten,Statuten,"- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht, solange die Mitgliedschafts- und Mietvertragsbedingungen eingehalten werden. Mitglieder sind verpflichtet, selbst in der gemieteten Wohnung zu wohnen und dort zivilrechtlichen Wohnsitz zu haben.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Eine spezifische Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" wird in den Statuten nicht verwendet. Es wird von Mietverhältnis, Mitgliedschaft und der Pflicht, selbst in der Wohnung zu wohnen, gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Ausschluss ist möglich bei:
  - Verletzung der Mitgliedschaftspflichten, insbesondere der genossenschaftlichen Treuepflicht
  - Missachtung von Beschlüssen der Generalversammlung oder des Vorstandes
  - Missachtung der Pflicht, selbst in der Wohnung zu wohnen und dort zivilrechtlichen Wohnsitz zu haben
  - Vorliegen eines ausserordentlichen mietrechtlichen Kündigungsgrundes oder anderer Verletzungen des Mietvertrages
  - Verletzung von Bestimmungen der Wohnbauförderung, die eine Kündigung des Mietverhältnisses verlangen
Vor dem Ausschluss muss eine Abmahnung erfolgen. Es besteht ein Rekursrecht an die Generalversammlung und ggf. an den Richter.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Ein Ausschluss aus der Genossenschaft kann zur Kündigung des Mietvertrags führen. Zudem kann bei ausserordentlichen mietrechtlichen Kündigungsgründen oder Verletzungen des Mietvertrags das Mietverhältnis beendet werden.

- Wird ein Ersatz angeboten?
Bei Erneuerungsvorhaben, die einen Auszug bedingen, sind drei Umzugsangebote zu machen. Frei werdende Wohnungen werden entsprechend dem vorgesehenen Etappierungsplan befristet vermietet. Bei Ehetrennung/Scheidung kann dem ausgeschlossenen Partner eine andere Wohnung angeboten werden, es besteht aber kein Anspruch darauf."
Kalkbreite - Vermietungsbestimmungen,Vermietungsbestimmungen,"- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine generelle zeitliche Begrenzung für das Wohnrecht. Die Belegungsvorschriften müssen jedoch eingehalten werden. Bei Verletzung dieser Vorschriften ist eine Überschreitung für maximal ein Jahr möglich, danach kann die Genossenschaft die Wohnung kündigen. Bei Bauprojekten besteht ein Wohnrecht im neuen Projekt, sofern die Vorschriften eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Der Begriff ""Wohnrecht"" wird im Zusammenhang mit Bauprojekten verwendet. Ansonsten wird von Belegungs- und Nutzungsvorschriften gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Dazu finden sich im Vermietungsreglement keine Angaben.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Wenn die Belegungs- oder Nutzungsvorschriften nach Ablauf einer einjährigen Frist weiterhin nicht eingehalten werden, kündigt die Genossenschaft die Wohnung auf den nächsten Termin.

- Wird ein Ersatz angeboten?
Bei Unterbelegung wird – soweit möglich – ein interner Wohnungswechsel angeboten. Bei Bauprojekten verpflichtet sich der Vorstand, Überbrückungslösungen zu suchen und für die Übergangszeit freiwerdende Wohnungen in bestehenden Liegenschaften zur Miete anzubieten."
Kalkbreite - Statuten,Statuten,"- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Die Statuten nennen keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Die Mitgliedschaft und das Mietverhältnis bestehen grundsätzlich unbefristet, solange die Bedingungen eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Statuten sprechen von ""Mitgliedschaft"" und ""Mietverhältnis"".

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn es trotz Mahnung finanzielle Verpflichtungen nicht erfüllt, den Interessen der Genossenschaft zuwiderhandelt oder statutarische Verpflichtungen verletzt. Ausschlussgründe sind auch: Missachtung von Mobilitätskonzepten, Nichtbenutzung des Mietobjekts, fehlender zivilrechtlicher Wohnsitz in der Wohnung, Verletzung von Nutzungs- und Belegungsvorschriften sowie Bestimmungen über die Untermiete.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Statuten regeln dies nicht explizit, verweisen aber auf das Vermietungsreglement und die gesetzlichen Bestimmungen. Bei Austritt aus der Genossenschaft muss das Mietverhältnis gekündigt werden; dabei gelten die gesetzlichen Kündigungsfristen.

- Wird ein Ersatz angeboten?
Dazu findet sich in den Statuten keine Angabe."
Hofgarten | geho - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Eine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht ist in den Statuten nicht festgelegt. Die Mitgliedschaft und das Wohnrecht bestehen grundsätzlich unbefristet, solange die Bedingungen der Statuten und Reglemente eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird von ""Mitgliedschaft"", ""Wohnrecht"" und ""Mietvertrag"" gesprochen. Die Pflicht, selber in der Wohnung zu wohnen und dort zivilrechtlichen Wohnsitz zu haben, ist explizit als Bedingung genannt.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Ausschluss ist möglich bei:
  - Verletzung der Mitgliedschaftspflichten, insbesondere der genossenschaftlichen Treuepflicht, Missachtung von Beschlüssen, vorsätzlicher Schädigung der Genossenschaft
  - Missachtung der Pflicht, selber in der Wohnung zu wohnen und dort Wohnsitz zu haben
  - Zweckentfremdung der Wohnung (z.B. geschäftliche Nutzung)
  - Ablehnung von 3 Umsiedlungsangeboten bei Unterbelegung
  - Missachtung von Statuten oder Reglementen
  - Ablehnung eines Umsiedlungsangebots bei Abbruch der Liegenschaft
  - Verletzungen des Mietvertrags, insbesondere bei ausserordentlichen mietrechtlichen Kündigungsgründen nach OR
  - Verletzung von Bestimmungen der Wohnbauförderung, sofern kein Umsiedlungsangebot gemacht werden kann oder abgelehnt wurde

Vor dem Ausschluss erfolgt in der Regel eine Mahnung, ausser in bestimmten Ausnahmefällen (z.B. gerichtliche Zuweisung der Wohnung bei Scheidung/Trennung).

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags ist nur in Verbindung mit dem Ausschluss aus der Genossenschaft möglich. Gründe sind identisch mit den Ausschlussgründen (siehe oben). Bei Unterbelegung muss das Mitglied in eine kleinere Wohnung wechseln, wobei maximal 3 Umsiedlungsangebote erfolgen. Wird dies abgelehnt, kann der Ausschluss und damit die Kündigung erfolgen.

- Wird ein Ersatz angeboten?
Bei Unterbelegung oder Abbruch einer Liegenschaft werden Umsiedlungsangebote gemacht. Bei Ersatzneubauten wird nach Möglichkeit mindestens ein Umsiedlungsobjekt angeboten. Bei der Vermietung von umgebauten Gebäuden und Ersatzneubauten werden bisherige MieterInnen bevorzugt berücksichtigt, sofern sie die Vermietungsrichtlinien erfüllen.

Quelle: Statuten der Genossenschaft Hofgarten, Stand 1. Juni 2023."
Dreieck - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Die Statuten enthalten keine zeitliche Begrenzung für die Dauer der Mitgliedschaft oder des Wohnens in einer Wohnung. Es gibt keine maximale Aufenthaltsdauer.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Eine spezifische Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" wird in den Statuten nicht verwendet. Es wird allgemein von Mitgliedschaft, Mietverhältnis und Mietnachfolge gesprochen.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, z.B.:
  - Verletzung der Mitgliedschaftspflichten oder der Treuepflicht
  - Missachtung von Beschlüssen oder Schädigung der Genossenschaft
  - Nichtwohnen in der gemieteten Wohnung oder Zweckentfremdung
  - Ablehnung eines zumutbaren Umsiedlungsangebotes bei Unterbelegung oder Umbau/Abbruch
  - Verletzung von Statuten oder Reglementen
  - Vorliegen eines ausserordentlichen mietrechtlichen Kündigungsgrundes (z.B. nach Art. 257d, 257f, 266g, 266h OR)
  - Verletzung von Bestimmungen der Wohnbauförderung
  - Bei Scheidung/Trennung, wenn der Mietvertrag übertragen wird und keine andere Wohnung angeboten werden kann
Dem Ausschluss hat in der Regel eine Mahnung vorauszugehen.

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Die Kündigung des Mietvertrags richtet sich nach den mietrechtlichen Bestimmungen. Ein Ausschluss aus der Genossenschaft ist mit der Kündigung des Mietvertrags verbunden. Gründe sind u.a. ausserordentliche mietrechtliche Kündigungsgründe oder Verstösse gegen die Statuten.

- Wird ein Ersatz angeboten?
Bei Unterbelegung oder Umbau/Abbruch kann ein zumutbares Umsiedlungsangebot innerhalb der Genossenschaft gemacht werden. Wird dieses abgelehnt, kann ein Ausschluss erfolgen. Ein Ersatz wird also angeboten, wenn möglich und zumutbar, ist aber nicht garantiert."
Baufreunde - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Eine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht ist in den Statuten nicht festgelegt. Die Mitgliedschaft und das Mietverhältnis bestehen grundsätzlich unbefristet, solange die Bedingungen eingehalten werden.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird kein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" verwendet. Die Statuten sprechen von der Pflicht, ""selber in den von ihnen gemieteten Wohnungen zu wohnen und dort zivilrechtlichen Wohnsitz zu haben"" (Art. 4 Abs. 3, Art. 11).

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Mitglied kann ausgeschlossen werden, wenn ein wichtiger Grund vorliegt, insbesondere bei:
  - Verletzung der Mitgliedschaftspflichten oder der genossenschaftlichen Treuepflicht
  - Missachtung von Beschlüssen der Organe
  - Schädigung des Ansehens oder der wirtschaftlichen Belange der Genossenschaft
  - Missachtung der Pflicht, selbst in der Wohnung zu wohnen
  - Zweckentfremdung der Wohnung (z.B. geschäftliche Nutzung)
  - Missachtung der Statuten oder des Vermietungsreglements
  - Bei umfassender Renovation oder Abbruch nach Ablehnung eines Umsiedlungsangebots
  - Vorliegen eines ausserordentlichen mietrechtlichen Kündigungsgrundes (z.B. gemäss Art. 257d, 257f, 266g, 266h OR)
Dem Ausschluss hat in der Regel eine Mahnung vorauszugehen, außer wenn diese nutzlos ist oder eine mietrechtliche Kündigung vorliegt (Art. 11).

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Ein Ausschluss aus der Wohnung (Kündigung des Mietverhältnisses) kann insbesondere bei ausserordentlichen mietrechtlichen Kündigungsgründen erfolgen, wie sie im Obligationenrecht (OR) geregelt sind (z.B. Zahlungsverzug, schwere Pflichtverletzungen, Eigenbedarf nach umfassender Renovation/Abbruch). Details dazu sind in Art. 11 und Art. 12 geregelt.

- Wird ein Ersatz angeboten?
Bei umfassender Renovation oder Abbruch einer Liegenschaft darf ein Ausschluss erst nach Ablehnung eines Umsiedlungsangebots erfolgen, sofern die Genossenschaft über entsprechende Objekte verfügt (Art. 11 Abs. 1f).

Quelle: https://baufreunde.ch/app/uploads/statuten-baufreunde-2018.pdf"
röntgenhof | GBRZ - Statuten,Statuten,"'- Wie lange darf man in der Genossenschaft und in einer Wohnung bleiben?
Es gibt keine zeitliche Begrenzung für die Mitgliedschaft oder das Wohnrecht. Mitglieder sind verpflichtet, selbst in der gemieteten Wohnung zu wohnen und dort ihren zivilrechtlichen Wohnsitz zu haben.

- Gibt es eine spezifische Bezeichnung dafür? Bleiberecht, Wohnrecht, etc.?
Es wird von ""Mitgliedschaft"" und ""Mietverhältnis"" gesprochen. Ein spezieller Begriff wie ""Bleiberecht"" oder ""Wohnrecht"" wird nicht verwendet, aber die Pflicht zur Selbstnutzung und zum zivilrechtlichen Wohnsitz ist festgelegt.

- Was muss gegeben sein, dass jemand aus der Genossenschaft ausgeschlossen wird?
Ein Ausschluss ist möglich, wenn ein Mitglied trotz schriftlicher Mahnung seinen statutarischen oder mietvertraglichen Verpflichtungen nicht nachkommt oder sonst den Interessen der Genossenschaft zuwiderhandelt. Konkrete Ausschlussgründe sind u.a.:
  - Verletzung der Treuepflicht
  - Missachtung von Beschlüssen
  - Schädigung des Ansehens oder der wirtschaftlichen Belange der Genossenschaft
  - Nicht-Selbstnutzung der Wohnung
  - Zweckentfremdung (z.B. gewerbliche Nutzung)
  - Ablehnung eines zumutbaren Umsiedlungsangebots bei Unterbelegung oder Umbau/Abbruch
  - Unzulässige Untermiete
  - Mietrechtliche Kündigungsgründe nach OR (z.B. Zahlungsverzug, schwere Pflichtverletzungen)
  - Verletzung von Bestimmungen der Wohnbauförderung

- Was muss gegeben sein, dass jemand aus der Wohnung geworfen wird?
Mit dem Ausschluss aus der Genossenschaft erfolgt gleichzeitig die Kündigung des Mietverhältnisses auf den nächstmöglichen Termin. Die Kündigung des Mietvertrags richtet sich nach den mietrechtlichen Bestimmungen.

- Wird ein Ersatz angeboten?
Bei Unterbelegung oder Umbau/Abbruch muss ein zumutbares Umsiedlungsangebot gemacht werden. Wird dieses abgelehnt, kann dies zum Ausschluss führen. Ein Ersatz wird also in bestimmten Fällen angeboten, ist aber nicht garantiert."
Limmattal | GBL - Statuten,Statuten,"'- Es gibt keine zeitliche Begrenzung, wie lange man in der Genossenschaft oder in einer Wohnung bleiben darf. Voraussetzung ist, dass die Mitgliedschaft und das Mietverhältnis bestehen bleiben und die Statuten eingehalten werden.
- Eine spezifische Bezeichnung wie ""Bleiberecht"" oder ""Wohnrecht"" wird in den Statuten nicht verwendet. Es wird aber festgehalten, dass Mitglieder verpflichtet sind, selber in den gemieteten Wohnungen zu wohnen und dort zivilrechtlichen Wohnsitz zu haben.
- Ausschluss aus der Genossenschaft ist möglich, wenn ein wichtiger Grund vorliegt, z.B. Verletzung der Mitgliedschaftspflichten, Missachtung von Beschlüssen, Schädigung der Genossenschaft, Nichtbewohnen der Wohnung, Zweckentfremdung, Verstoss gegen Untermietregeln, Ablehnung eines zumutbaren Umsiedlungsangebotes bei Umbau/Abbruch, oder bei ausserordentlichen mietrechtlichen Kündigungsgründen (z.B. schwere Vertragsverletzungen).
- Ein Ausschluss setzt in der Regel eine Mahnung voraus, ausser diese ist nutzlos oder es liegt ein schwerwiegender mietrechtlicher Grund vor.
- Der Ausschluss aus der Wohnung (Kündigung des Mietvertrags) erfolgt nur in Verbindung mit dem Ausschluss aus der Genossenschaft und richtet sich nach den mietrechtlichen Bestimmungen.
- Bei Umbauten oder Ersatzneubauten wird ein sozialverträgliches Vorgehen angestrebt und die bisherigen Mieter/innen werden bei der Neuvermietung bevorzugt, sofern sie die Anforderungen erfüllen. Bei Ablehnung eines zumutbaren Umsiedlungsangebotes kann ein Ausschluss erfolgen. Ein Ersatz wird also angeboten, sofern möglich und zumutbar.

Quelle: Statuten GBL, insbesondere Art. 6, 7, 8, 9, 10, 11, 12, 13."
