Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Vermietungsbestimmungen
Baugenossenschaft Alpenblick - Vermietungsbestimmungen,https://www.baugenossenschaft-alpenblick.ch/s/BAZ-Reglement-Vermietung_2024-lgdt.pdf,Baugenossenschaft Alpenblick,Vermietungsbestimmungen,PDF,"Zwingend
- Zahlungsfähigkeit (Nachweis durch aktuellen Betreibungsregisterauszug bei externen Bewerber*innen)
- Selbständige Wohnfähigkeit
- Mindestbelegung je nach Wohnungsgrösse (z.B. mind. 1 Person für 2–2½-Zimmer, mind. 2 Personen für 3–3½-Zimmer usw.)
- Integration in die bestehende Hausgemeinschaft
- Gute Referenzen
- Persönliche Anwesenheit aller Vertragspartner*innen bei Vertragsunterzeichnung
- Einhaltung der Belegungsbestimmungen während des Mietverhältnisses (Meldung von Ein- und Auszügen)
- Bei Unterbelegung: Annahme einer zumutbaren Ersatzwohnung oder Zahlung eines Unterbelegungszuschlags, sonst Ausschluss aus der Genossenschaft und Kündigung

Bevorzugend
- Aktive und am Genossenschaftsgedanken interessierte Mitglieder
- Personen mit geringem Einkommen
- Familien mit Kindern oder Wohngemeinschaften (insbesondere bei grossen Wohnungen)
- 4-Personen-Haushalte werden bei interner Vergabe von 4- und 4½-Zimmer-Wohnungen gegenüber 3-Personen-Haushalten bevorzugt
- 4-Personen-Haushalte, die aktuell in einer kleineren Wohnung leben, werden gegenüber solchen, die bereits in einer grossen Wohnung leben, bevorzugt
- Interne Bewerber*innen werden gegenüber externen bevorzugt (nach Warteliste)

Änderungen
- Bei Unterbelegung während des Mietverhältnisses wird eine zumutbare Ersatzwohnung angeboten. Wird diese abgelehnt, ist ein monatlicher Unterbelegungszuschlag zu zahlen. Bei weiterer Ablehnung erfolgt der Ausschluss aus der Genossenschaft und die Kündigung der Wohnung.
- Die Belegungsbestimmungen müssen auch im laufenden Mietverhältnis eingehalten werden. Ein- und Auszüge sind zu melden.
- Es gibt keine Hinweise auf zwingende Massnahmen bei steigendem Einkommen oder veränderter Familienplanung, ausser im Zusammenhang mit der Belegung der Wohnung.

Weitere Kriterien wie Alter, aktueller Wohnort, Staatsbürgerschaft oder Anstellungsverhältnis werden im Reglement nicht explizit genannt."
Ufdorf - Vermietungsbestimmungen,https://www.ufdorf.ch/global/file/download/id/59,Ufdorf,Vermietungsbestimmungen,Webseite,"Zwingend
- nichts gefunden

Bevorzugend
- nichts gefunden

Änderungen
- nichts gefunden"
Ufdorf - Vermietungsbestimmungen,https://www.ufdorf.ch/global/file/download/id/58,Ufdorf,Vermietungsbestimmungen,PDF,nichts gefunden
Kratwerk1 - Vermietungsbestimmungen,https://www.kraftwerk1.ch/assets/2022_Webside_Reglement%20fuer%20die%20Vermietung%20von%20Wohnraeumen.pdf,Kratwerk1,Vermietungsbestimmungen,PDF,"Zwingend
- Mitgliedschaft bzw. Beitritt zur Genossenschaft ist Voraussetzung für den Abschluss eines Mietvertrags.
- Mindestbelegung der Wohnung je nach Wohnungstyp (z.B. 2 Personen für 3–4½-Zimmer-Wohnung). Die Mindestbelegung muss zum Mietantritt erfüllt sein und wird im Mietvertrag festgehalten.
- Die Wohnung muss als fester Wohnsitz genutzt werden.
- Bei Unterschreitung der Mindestbelegung (z.B. durch Auszug von Personen) muss dies der Geschäftsstelle gemeldet werden. Wird die Unterbelegung nicht innerhalb der Frist behoben, kann das Mietverhältnis gekündigt und das Mitglied ausgeschlossen werden.
- Falsche Angaben zur Belegung führen zur Kündigung und Ausschluss.

Bevorzugend
- Dringlichkeit des Wohnungswechsels aus finanziellen, gesundheitlichen oder sozialen Gründen.
- Integration in die Strukturen und Engagement für Kraftwerk1.
- Förderung neuer Wohnformen (z.B. Suiten).
- Soziale Durchmischung.
- Dauer der Mitgliedschaft in der Genossenschaft.
- Einbezug der Nachbarschaft und nachbarschaftliche Verträglichkeit.
- Finanzielle Verhältnisse (z.B. Bedürftigkeit).
- Bleiberecht in der Genossenschaft (gilt nur beschränkt für befristete UntermieterInnen).

Änderungen
- Bei Unterschreitung der Mindestbelegung (z.B. Kinder ziehen aus): Meldepflicht an Geschäftsstelle. Frist zur Behebung der Unterbelegung (3 Jahre bei normalen Wohnungen, 6 Monate bei Wohngemeinschaften/Suiten). Nach Ablauf der Frist Kündigung und Ausschluss möglich.
- Bei zweimaliger Ablehnung eines Wohnungswechsels trotz Unterbelegung: Kündigung und Ausschluss.
- Bei Änderung der Nutzung (z.B. teilweise Erwerbsarbeit in der Wohnung): Zustimmung des Vorstands und Vertragsänderung erforderlich.

Weitere Kriterien wie Lohnhöhe, Alter, aktueller Wohnort, Familienplanung, Staatsbürgerschaft oder Anstellungsverhältnis werden im Reglement nicht explizit als zwingend oder bevorzugend genannt."
ZBWG - Vermietungsbestimmungen,https://www.zbwg.ch/site/assets/files/1026/231205_vermietungsreglement_druckversion_def.pdf,ZBWG,Vermietungsbestimmungen,PDF,nichts gefunden
WOGENO - Vermietungsbestimmungen,https://www.wogeno-zuerich.ch/assets/files/Reglemente/wogeno-vorschriften-wohnungsvergabe-2024.docx.pdf,WOGENO,Vermietungsbestimmungen,PDF,"Zwingend
- Mitgliedschaft bei der Wogeno Zürich (mindestens seit 3 Monaten)
- Erfüllung der Belegungsvorschriften (z.B. passende Anzahl Personen zur Wohnungsgrösse)
- Bei öffentlich ausgeschriebenen Wohnungen: Aufnahme als Mitglied der Wogeno Zürich

Bevorzugend
- Integrierfähigkeit in die bestehende Hausgemeinschaft
- Anzahl Personen (passend zur Wohnung)
- Persönliche finanzielle Verhältnisse
- Dauer der Mitgliedschaft (längere Mitgliedschaft wird bevorzugt)
- Dringlichkeit des Wohnungswechsels

Änderungen
Nichts gefunden."
WOGENO - Vermietungsbestimmungen,https://www.wogeno-zuerich.ch/assets/files/uploads/wogeno-belegungsvorschriften-2024.pdf,WOGENO,Vermietungsbestimmungen,PDF,"Zwingend
- Mindestbelegung: Die Anzahl der in der Wohnung lebenden Personen muss der vorgeschriebenen Mindestbelegung entsprechen (Zimmerzahl minus 2 oder nach Nettowohnfläche). Nur Hauptmieter:innen und deren Kinder zählen zur Mindestbelegung.
- Wohnsitz: Es zählen nur Personen, die die Wohnung dauernd und als festen Wohnsitz bewohnen und behördlich angemeldet sind.
- Bei Unterbelegung während der Mietdauer muss innerhalb von 2 Jahren entweder umgezogen oder neue Mitglieder aufgenommen werden, sonst droht Kündigung und Aufhebung der Genossenschaftsmitgliedschaft.

Bevorzugend
- Die Hausvereine dürfen bei der Wohnungsvergabe eine höhere Belegung anstreben bzw. zulassen.

Änderungen
- Bei Unterbelegung (z.B. durch Auszug von Kindern) muss dies gemeldet werden. Es gilt eine Bereinigungsfrist von 2 Jahren, um die Belegungsvorschriften wieder zu erfüllen, sonst droht Kündigung und Aufhebung der Mitgliedschaft.
- Besitzstandwahrung: Wer bei Hauserwerb bereits unterbelegt wohnte, darf dies weiterhin, aber die Belegung darf sich nicht weiter verringern.
- Ausnahmen in besonderen Fällen (z.B. Todesfall, Trennung, Krankheit) können vom Vorstand bewilligt werden.

Weitere Kriterien wie Lohn, Alter, aktueller Wohnort, Familienplanung, Staatsbürgerschaft oder Anstellungsverhältnis werden nicht genannt."
Sunnige Hof - Vermietungsbestimmungen,https://sunnigehof.ch/app/uploads/Vermietungsgrundsaetze_Juli-2022.pdf,Sunnige Hof,Vermietungsbestimmungen,PDF,"Zwingend
- Belegungsvorschriften müssen erfüllt sein.
- Solvenz (Zahlungsfähigkeit) ist erforderlich.
- Integration in die Strukturen und Engagement für den Sunnige Hof.
- Integration in die Nachbarschaft und nachbarschaftliche Verträglichkeit.
- Referenzen müssen vorhanden sein.

Bevorzugend
- Interne Umsiedlungen (z.B. wegen Bauvorhaben, Unterbelegung, gesundheitlichen/familiären Gründen) werden bevorzugt.
- Freiwillige Genossenschafterinnen und Genossenschafter werden bevorzugt.
- Genossenschafterinnen und Genossenschafter der Baugenossenschaft des Kaufmännischen Verbandes Zürich werden bevorzugt.
- Stadt Zürich – Soziale Einrichtungen und Betriebe gemäss Vereinbarung werden bevorzugt.

Änderungen
Nichts gefunden."
Sunnige Hof - Vermietungsbestimmungen,https://sunnigehof.ch/app/uploads/Vermietungsreglement_Juli-2022.pdf,Sunnige Hof,Vermietungsbestimmungen,PDF,"Zwingend
- Handlungsfähigkeit (natürliche oder juristische Person)
- Bezahlung der Aufnahmegebühr und Übernahme von mindestens zehn Genossenschaftsanteilen
- Für natürliche Personen: Schweizer Bürgerrecht, Niederlassungsbewilligung C oder Aufenthaltsbewilligung B
- Guter Leumund und geordnete Verhältnisse
- Einhaltung der Mindestbelegung je nach Wohnungsgrösse (z.B. Anzahl Personen pro Zimmer)
- Residenzpflicht (Wohnsitz in der Wohnung)
- Keine Betreibungen und Mahnungen in den letzten zwei Jahren (bei Umsiedlung/Neuvermietung)
- Zahlungsfähigkeit (keine Unterstützung durch den Solidaritätsfonds bei Umsiedlung/Neuvermietung)
- Änderungen der Personenbelegung müssen innert einem Monat gemeldet werden, sonst droht Ausschluss

Bevorzugend
- Lebensgemeinschaften mit Kindern haben Vorrang bei der Wohnungsvergabe
- Einwohner von Mönchaltorf haben in der Siedlung Mönchaltorf zweite Priorität
- Toleranz einer Unterbelegung ab dem 70. Altersjahr in 3- und 3½-Zimmer-Wohnungen (gegen Mehrzins)
- Bei getrennt lebenden oder geschiedenen Elternteilen kann zugunsten des Kinderbesuchsrechts von der Belegungsvorschrift abgewichen werden

Änderungen
- Bei Unterbelegung (zwei oder mehr überzählige Zimmer) muss die Wohnung innert zwei Jahren freigegeben werden, sonst droht Ausschluss
- Bei Auszug von Personen (z.B. Kinder) oder anderen Änderungen der Belegung muss dies gemeldet werden; Missachtung führt zu Ausschluss
- Bei Toleranz der Unterbelegung ab 70 Jahren ist ein Mehrzins zu zahlen
- Bei Umsiedlung gelten die gleichen Bedingungen wie bei Neuvermietung (z.B. keine Betreibungen, Zahlungsfähigkeit, Personenanzahl gemäss Richtlinien)

Weitere Kriterien wie Lohn, Alter (ausser für Unterbelegungstoleranz ab 70), Familienplanung, Anstellungsverhältnis werden nicht explizit als zwingend oder bevorzugend genannt."
Eigengrund | sge - Vermietungsbestimmungen,https://www.eigengrund.ch/cms/upload/Dokumente/Mietunterlagen/Reglemente/Reglement_Vermietung.pdf,Eigengrund | sge,Vermietungsbestimmungen,PDF,"Zwingend
- Mitgliedschaft in der Genossenschaft ist grundsätzlich Voraussetzung für die Miete (Ausnahme: befristete Verträge, z.B. bei Ersatzneubauprojekten).
- Übernahme von Genossenschaftsanteilen.
- Einhaltung der Belegungsregeln (Anzahl Personen pro Wohnung, abhängig von Zimmerzahl und Wohnungstyp).
- Bei subventionierten Wohnungen: Erfüllung der Subventionsbestimmungen von Stadt und Kanton Zürich (Personenzahl, Alter, Wohnsitzkarenzfrist, Aufenthaltsbewilligung, Einkommens- und Vermögensverhältnisse).
- Keine Vermietung als Zweitwohnsitz oder an Wochenaufenthalter (Ausnahme: Personen in Ausbildung).
- Keine kommerzielle Untervermietung (z.B. Airbnb).
- Fähigkeit, sich mündlich und schriftlich auf Deutsch zu verständigen.
- Gute Referenzen (Betreibungsauskunft, Auskunft aktueller Vermieter).
- Bei Liegenschaften auf Baurechtsland der Stadt Zürich: Anwendung der städtischen Belegungs- und Zweitwohnsitzregeln.

Bevorzugend
- Günstigere Wohnungen werden möglichst an Familien und Personen mit geringem Einkommen vergeben.
- Bewerber mit Toleranz, Offenheit, Interesse am Genossenschaftsleben und Nachbarschaftlichkeit.
- Ausgewogener Mietermix und gute Durchmischung (nicht mehr als zwei Parteien derselben Familie pro Siedlung).
- Bei besonders preisgünstigen Wohnungen: vergleichbare Massstäbe wie im subventionierten Wohnungsbau.

Änderungen
- Wird die Belegungslimite während der Mietdauer unterschritten (z.B. Kinder ziehen aus), hat die Mieterschaft zwei Jahre Zeit, die Wohnung freizugeben oder einen internen Wohnungswechsel vorzunehmen. Danach wird ein Unterbelegungszuschlag erhoben oder die Wohnung muss verlassen werden.
- Bei Überschreitung der Einkommens- und/oder Vermögenslimite in subventionierten Wohnungen kann der Mietvertrag unter bestimmten Bedingungen um maximal zwei Jahre verlängert werden (ohne Subvention). Danach ist die Wohnung zu verlassen.
- Werden Belegungsbestimmungen durch falsche Angaben umgangen, kann der Vorstand das Mitglied ausschliessen und die Wohnung kündigen.

Weitere Kriterien wurden im Text nicht gefunden."
