Name,Typ,Aufgaben,Status,Bemerkung,Bereiche,Prio,Duration,Start,Ende,Predecessor,From field: Predecessor,Timeboxing,Instagram Video,Instagram Bild,Instagram Carousel,Blogpost
Sind Genossenschaftswohnungen immer so altbacken? Wie sieht eine Genossenschaftswohnung aus? sind die immer so altbacken?,Contentproduktion,"Wie sieht eine Genossenschaftswohnung aus? sind die immer so altbacken? - Instagram Video,Wie sieht eine Genossenschaftswohnung aus? sind die immer so altbacken? - Blogpost",,,,,,,,,,,checked,,,checked
Vergleich Vermietungsrichtlinien https://www.freiblick.ch/files/Vermietungsrichtlinien_01092020.pdf,Contentproduktion,,,,,,,,,,,,,,,
"Was machen Genossenschaften, um Zusammenhalt zu stärken?",Contentproduktion,,,,,,,,,,,,,,,
Weshalb sind manche Genossenschaftswohnungen so teuer?,Contentproduktion,,,,,,,,,,,,,,,
Begriffsklärung: Was ist die Kostenmiete?,Contentproduktion,"Begriffsklärung: Was ist die Kostenmiete? - Instagram Video,Begriffsklärung: Was ist die Kostenmiete? - Instagram Carousel,Begriffsklärung: Was ist die Kostenmiete? - Blogpost",,,,,,,,,,,checked,,checked,checked
Wohnen für Familien in Zürich (oder Genossenschaftswohnungen für Familien in Zürich,Contentproduktion,,,,,,,,,,,,,,,
Top 5 Stadtteile für Familien in Zürich,Contentproduktion,"Top 5 Stadtteile für Familien in Zürich - Instagram Video,Top 5 Stadtteile für Familien in Zürich - Instagram Carousel,Top 5 Stadtteile für Familien in Zürich - Blogpost",,"Top 5 Stadtteile für junge Familien in Zürich

Wollishofen
Wipkingen
Affoltern

Oerlikon
Altstetten
Unterstrass



https://www.homegate.ch/c/de/ratgeber/mieten/wohnung-finden/kreise-zuerich#:~:text=In%20Schwamendingen%2C%20im%20Kreis%2012,verlockendes%20Wohngebiet%20f%C3%BCr%20viele%20Familien

Selbstverständlich! Hier ist ein Beispiel für einen Blogbeitrag über die Vor- und Nachteile der verschiedenen Stadtteile in Zürich für junge Familien:

---

Titel: Die besten Stadtteile in Zürich für junge Familien: Vor- und Nachteile im Überblick

Ein Zuhause in Zürich zu finden, das perfekt auf die Bedürfnisse junger Familien zugeschnitten ist, erfordert eine sorgfältige Auswahl des richtigen Stadtteils. In diesem Blogbeitrag stellen wir Ihnen einige der beliebtesten Stadtteile Zürichs vor und diskutieren ihre Vor- und Nachteile für junge Familien.

1. Kreis 2 – Wollishofen

Vorteile:

- Wollishofen bietet eine ruhige und familienfreundliche Umgebung mit vielen Grünflächen und Parks.
- Die Nähe zum Zürichsee ermöglicht Outdoor-Aktivitäten und eine schöne Umgebung für Spaziergänge und Fahrradtouren.
- Es gibt eine gute Auswahl an Kindergärten und Schulen in der Nähe.

Nachteile:

- Die Mietpreise können etwas höher sein als in anderen Stadtteilen.
- Die Verkehrsanbindung in die Innenstadt kann zu Stoßzeiten etwas langwierig sein.

1. Kreis 3 – Wiedikon

Vorteile:

- Wiedikon ist ein lebendiger Stadtteil mit vielen Geschäften, Restaurants und Freizeitmöglichkeiten für Familien.
- Es gibt eine gute Auswahl an Kindergärten, Schulen und Spielplätzen in der Nähe.
- Die öffentliche Verkehrsanbindung ist exzellent, was das Pendeln in die Innenstadt erleichtert.

Nachteile:

- Die Nachfrage nach Wohnraum ist hoch, was zu etwas höheren Mietpreisen führen kann.
- In einigen Teilen von Wiedikon kann es zu Stoßzeiten etwas belebter sein.

1. Kreis 9 – Albisrieden

Vorteile:

- Albisrieden bietet eine ruhige Umgebung und ist von viel Grün umgeben.
- Es gibt gute Schulen und Kindergärten in der Nähe.
- Die Mietpreise sind in der Regel etwas niedriger als in den zentraleren Stadtteilen.

Nachteile:

- Die Verkehrsanbindung in die Innenstadt kann etwas länger dauern.
- Es gibt möglicherweise weniger Freizeitmöglichkeiten und Restaurants als in anderen Stadtteilen.

1. Kreis 11 – Affoltern

Vorteile:

- Affoltern ist ein familienfreundlicher Stadtteil mit einer ruhigen und sicheren Umgebung.
- Die Mietpreise sind im Allgemeinen erschwinglich.
- Es gibt gute Schulen und Kindergärten in der Nähe.

Nachteile:

- Die Verkehrsanbindung in die Innenstadt kann etwas länger dauern.
- Die Auswahl an Freizeitmöglichkeiten und Restaurants ist möglicherweise begrenzter als in anderen Stadtteilen.

Es ist wichtig zu beachten, dass die Vorlieben und Bedürfnisse jeder Familie unterschiedlich sind. Diese Aufstellung bietet nur einen allgemeinen Überblick über die Vor- und Nachteile der verschiedenen Stadtteile Zürichs für junge Familien. Es lohnt sich, die persönlichen Prioritäten und den Lebensstil zu berücksichtigen, bevor",,,,,,,,,checked,,checked,checked
"Häufige Frage: Muss man erst Genosseschafter sein, um eine Wohnung zu bekommen?",Contentproduktion,"""Häufige Frage: Muss man erst Genosseschafter sein, um eine Wohnung zu bekommen? - Instagram Carousel"",""Häufige Frage: Muss man erst Genosseschafter sein, um eine Wohnung zu bekommen? - Blogpost"",""Häufige Frage: Muss man erst Genosseschafter sein, um eine Wohnung zu bekommen? - Instagram Video""",,,,,,,,,,,checked,,checked,checked
"FAQs (Ähhliche Fragen, die Bei Google Gestellt wurden)",Contentproduktion,,,,,,,,,,,,,,,
"5 ""Fun Facts"" zu Genossenschaftswohnungen",Contentproduktion,"""5 """"Fun Facts"""" zu Genossenschaftswohnungen - Instagram Video"",""5 """"Fun Facts"""" zu Genossenschaftswohnungen - Instagram Carousel"",""5 """"Fun Facts"""" zu Genossenschaftswohnungen - Blogpost"",Videodreh",,"'- Genossenschaftswohnungen passen in der Regel den Mietzins automatisch an bei einer Mietsenkung.
- in der Miete mit drin (ca. 5.- pro Monat) ist ein Beitrag für die Siedlung für Aktivitäten.
- Auch in der Miete mit drin ist ein Solidaritätsbeitrag, wenn jemand in finanzielle Schwierigkeiten kommt.
- Es gibt einen Vorstand der unter anderem aus Mitgliedern besteht, der der Geschäftsstelle auf die Finger schaut und die Richtung vorgibt. So wie der Verwaltungsrat bei einer AG
- Man hat häufig einen Genossenschaftsraum, um zum Beispiel Kindergeburtstage zu feiern.",,,,,,,,,checked,,checked,checked
Was ist die Depositenkasse?,Contentproduktion,"Was ist die Depositenkasse? - Instagram Video,Was ist die Depositenkasse? - Blogpost,Was ist die Depositenkasse? - Instagram Carousel",,,,,,,,,,,checked,,checked,checked
Top 5 Regionen um Zürich,Contentproduktion,"Top 5 Regionen um Zürich - Instagram Video,Top 5 Regionen um Zürich - Instagram Bild,Top 5 Regionen um Zürich - Blogpost",,,,,,,,,,,checked,checked,,checked
Befristete Genossenschaftswohnungen,Contentproduktion,"Befristete Genossenschaftswohnungen - Instagram Video,Befristete Genossenschaftswohnungen - Blogpost",,"- Vorteile: sehr günstig
- Nachteil: i.d.R. kein Genossenschafter",,,,,,,,,checked,,,checked
Wie gross darf eine Genossenschaftswohnung maximal sein?,Contentproduktion,"Wie gross darf eine Genossenschaftswohnung maximal sein? - Instagram Video,Wie gross darf eine Genossenschaftswohnung maximal sein? - Blogpost,Wie gross darf eine Genossenschaftswohnung maximal sein? - Instagram Carousel,Wie gross darf einer Wohnung für 3 Personen maximal sein?",,"- In der Regel sind die Anzahl Zimmer in einer Genossenschaftswohnung reglementiert. Als Faustregel gilt: Anzahl Personen plus 1.5 Zimmer.
- Beispiele: Ihr seid 2 Personen und sucht eine Genossenschaftswohnung. Dazu rechnet Ihr 1.5 Zimmer, sind 3.5. Also dürft Ihr maximal eine 3.5-Zimmer-Wohnung in einer Genossenschaftswohnung nutzen.
- Der Grund dafür ist, dass man zum Beispiel Familien Platz macht, die mehr Platz benötigen, als Personen, die alleine wohnen. Viele Genossenschaften bieten aber auch kleinere Wohnungen an. Eben für junge Paare, Singles oder auch ältere Menschen, die alleine wohnen. 
- Doch was passiert, wenn sich die Verhältnisse ändern und z.B. Kinder ausziehen? Es gibt da Genossenschaften, die strenger und solche, die weniger streng sind: In strengen Genossenschaften muss man innerhalb einer Frist eine neue Wohnung suchen, respektive die Genossenschaft bietet eine alternative Wohnung an. Es muss dann aber nicht zwingend im selben Stadtteil sein.
- Tipp: Auch wenn du mit einem Kind vielleicht eine 4.5-Zimmer-Wohnung anpeilst und das von der Grösse her legitim wäre, könntest du dich auf eine 3.5-Zimmer-Wohnung bewerben. Bist du erst einmal in einer Genossenschaft, ist es einfacher, innerhalb  der Genossenschaft die Wohnung zu wechseln. Du hast also mehr Chancen, von einer 3.5-Zimmer-Wohnung in eine 4.5-Zimmer-Wohnung zu wechseln als von ""aussen"" eine 4.5-Zimmer-Wohnung zu erhalten.
- Beim Newsletter von gnossiZH kannst du angeben, wie gross die Wohnung sein soll, über die ihr benachrichtigt werden möchtet.",,,,,,,,,checked,,checked,checked
Zahlung Anteilsschein 3. Säule,Contentproduktion,,,"https://tocco-nice-wbg.objects.rma.cloudscale.ch/fef04e3e52a8d6e5743ff4231d3e7ff8ce73596b76419e3b297ea0ab81f7c391?response-cache-control=private%3B%20max-age%3D900&response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%27Nr%252031d%2520Genossenschaftsanteile%2520berufliche%2520Vorsorge.pdf&response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251103T092608Z&X-Amz-SignedHeaders=host&X-Amz-Credential=Y6Z2Z3UIU0A8DUJ60K3U%2F20251103%2Ftocco%2Fs3%2Faws4_request&X-Amz-Expires=900&X-Amz-Signature=47ad70c14c61f6eeac3385547ddc90dd58a0e8bad7a6e90b12b644975b838571

https://www.wbg-schweiz.ch/dienstleistungen/fachpublikationen
",,,,,,,,,,,,
Wohnraum für Alleinerziehende in Zürich,Contentproduktion,Wohnraum für Alleinerziehende in Zürich - Blogpost,,,,,,,,,,,,,,
Was ist die Siedlungskommission? Wie funktioniert das? Allenfalls Interview,Contentproduktion,,,,,,,,,,,,,,,
"Miete geht rauf und runter, weshalb?",Contentproduktion,,,"- Bei Erstbezug
- Bei Zinsänderungen
- ...",,,,,,,,,,,,
"Karte mit Stadt Zürich (oder Kanton Zürich), mit Preisen für die Genossenschaftswohnungen. Wo sind sie am teuersten, wo am günstigsten?",Contentproduktion,,,,,,,,,,,,,,,
Interview Blum,Contentproduktion,Interview Blum - Instagram Video,,,,,,,,,,,checked,,,
Interview Martial,Contentproduktion,,,https://www.instagram.com/p/DWHFH3GDr6j/?igsh=MTZsbDdwNGh6MHRuNA==,,,,,,,,,,,,
Interview Blum: Teil 1 - Geschichte,Contentproduktion,Interview Blum: Teil 1 - Geschichte - Instagram Video,,,Marketing,,,,,,,,checked,,,
So viel sparst Du in einer Genossenschaftswohnung,Contentproduktion,"So viel sparst Du in einer Genossenschaftswohnung - Instagram Video,So viel sparst Du in einer Genossenschaftswohnung - Blogpost",,,,,,,,,,,checked,,,checked
"3 Gründe, um in einer Genossenschaft zu wohnen",Contentproduktion,"""3 Gründe, um in einer Genossenschaft zu wohnen - Instagram Video"",""3 Gründe, um in einer Genossenschaft zu wohnen - Instagram Bild"",""3 Gründe, um in einer Genossenschaft zu wohnen - Instagram Carousel""",,"3. Bleiberecht
2. Gemeinschaft
1. Preis ",,,,,,,,,checked,checked,checked,
Wie lange darf man in einer Wohnung / Genossenschaft sein?,Contentproduktion,,,"Spezifische Bezeichnungen (Bleiberecht, Wohnrecht, etc.)
Im Allgemeinen verwenden die meisten untersuchten Genossenschaften keinen spezifischen Begriff wie „Bleiberecht“. Das Recht, in der Wohnung zu bleiben, wird stattdessen in der Regel nüchtern als „Mitgliedschaft“ und „Mietverhältnis“ bezeichnet. Die Dauer des Wohnens ist grundsätzlich unbefristet, solange die Statuten und Belegungsvorschriften eingehalten werden.
Ein sehr zentraler und häufig verwendeter Begriff ist jedoch die „Residenzpflicht“: Genossenschafter sind verpflichtet, die Wohnung persönlich zu bewohnen und dort ihren zivilrechtlichen Wohnsitz zu haben.
Interessante Ausnahmen und Abweichungen:
- Explizites „Wohnrecht“: Einige Genossenschaften wie die FGZ, Linth Escher, ZBWG, Hofgarten und Oberstrass verwenden explizit den Begriff „Wohnrecht“ oder „Wohnrechtsanteil“.
- Lebenslanges Wohnrecht: Die Bau- & Wohngenossenschaft NeNa1 sticht heraus, da sie ein „lebenslanges Wohnrecht“ explizit in ihrem Zweckartikel verankert.
- Dauerndes Heim: Die Genossenschaft Denzlerstrasse (BDZ) formuliert das Ziel, ihren Mitgliedern ein „dauerndes Heim“ zu sichern.
- Besitzstandwahrung: Die WOGENO nutzt diesen juristischen Begriff für Fälle, in denen Mieter bei einem Hauserwerb durch die Genossenschaft trotz Unterbelegung in der Wohnung bleiben dürfen.
Voraussetzungen für einen Ausschluss aus der Genossenschaft
Ein Ausschluss aus der Genossenschaft erfordert in der Regel einen „wichtigen Grund“ und wird meist durch den Vorstand beschlossen. Fast immer muss dem Ausschluss eine schriftliche Mahnung (Abmahnung) vorausgehen, es sei denn, diese ist offensichtlich nutzlos oder es liegt ein schwerwiegender Fall vor.
Die häufigsten und allgemeingültigen Ausschlussgründe sind:
- Verletzung der Treuepflicht und Missachtung von Beschlüssen der Generalversammlung.
- Verletzung der Residenzpflicht (Wohnung wird nicht selbst bewohnt).
- Zweckentfremdung der Wohnung, beispielsweise durch überwiegende geschäftliche Nutzung.
- Ablehnung von zumutbaren Umsiedlungsangeboten, typischerweise bei Unterbelegung oder Sanierungen (oft nach zwei bis drei abgelehnten Angeboten).
- Unerlaubte Untervermietung, insbesondere über Plattformen wie Airbnb.
- Täuschung oder Falschangaben bei der Belegung.
Interessante Ausnahmen:
- Strafrechtliche Verurteilung: Die Genossenschaft Zurlinden nennt explizit eine rechtskräftige Verurteilung wegen eines Verbrechens oder den Verlust beruflicher/regulatorischer Voraussetzungen als Ausschlussgrund.
- Nichtzahlung des Anteilkapitals: Bei einigen Genossenschaften (z.B. Grafenwis, MBGZ) ist bereits die Nichtzahlung des Anteilkapitals nach zweimaliger Mahnung ein konkreter Ausschlussgrund.
Voraussetzungen für den Rauswurf aus der Wohnung (Kündigung)
Der Verlust der Wohnung ist bei Baugenossenschaften fast ausnahmslos zwingend an den Verlust der Mitgliedschaft gekoppelt. Wer aus der Genossenschaft ausgeschlossen wird, dem wird zeitgleich der Mietvertrag gekündigt.
Zusätzlich greifen die allgemeinen ausserordentlichen mietrechtlichen Kündigungsgründe gemäss Obligationenrecht (OR, z.B. Art. 257d, 257f):
- Schwere Vertragsverletzungen und Störung des Hausfriedens.
- Zahlungsrückstände (Mietzins).
Besonderheit Unterbelegung (Übergangsfristen): Im Falle einer Unterbelegung (z.B. wenn Kinder ausziehen) werfen die Genossenschaften ihre Mieter in der Regel nicht sofort auf die Strasse. Oft wird eine feste Schon- oder Zügelfrist von ein bis drei Jahren gewährt, in der ein Wechsel in eine kleinere Wohnung stattfinden muss. Erst wenn diese Frist abläuft und Ersatzangebote abgelehnt werden, erfolgt die Kündigung.
Wird ein Ersatz angeboten?
Ja, in den allermeisten Fällen ist das Angebot einer Ersatzwohnung obligatorisch, bevor eine Kündigung ausgesprochen werden darf. Dies betrifft vor allem zwei Hauptszenarien:
1. Unter- und Überbelegung: Die Genossenschaften machen aktiv Umsiedlungsangebote. Üblich ist, dass zwei bis drei ""zumutbare"" Ersatzwohnungen angeboten werden müssen. Als ""zumutbar"" gilt ein Angebot meist dann, wenn die Wohnung finanziell tragbar, sozial vertretbar und im gleichen Quartier oder der gleichen Siedlung gelegen ist. Lehnt der Mieter alle Angebote ab, wird er ausgeschlossen und gekündigt.
2. Sanierungen, Umbauten und Ersatzneubauten: Hier wird den betroffenen Bewohnern in der Regel mindestens ein Umsiedlungsobjekt (manchmal auch provisorisch) angeboten. Zudem geniessen die bisherigen Mieter bei der Erstvermietung der neuen Gebäude ein Vorzugsrecht.
Interessante Ausnahmen und Praktiken:
- Umsiedlungs-Boni: Die BSH bietet bei einem Wechsel in eine kleinere Wohnung aktiv einen Umsiedlungsbeitrag von CHF 2'000 an. Die Gewo Züri Ost erlässt bei einem wohnungsinternen Tausch einen halben Monatsmietzins und übernimmt die Reinigungskosten.
- Scheidung/Trennung: Einige Genossenschaften versuchen aktiv, dem durch Trennung ausziehenden und damit ausgeschlossenen Partner eine angemessene Ersatzwohnung in der Genossenschaft anzubieten, falls verfügbar.
- Kein Anspruch: Die WOGENO stellt eine strikte Ausnahme dar; hier wird in den Erläuterungen explizit festgehalten, dass kein Anspruch auf eine Ersatzwohnung besteht.
",,,,,,,,,,,,
